sentence,depth
The cat that the dog that the cat liked admired jumps high.,2
The girl is barking.,0
The boy is sleeping.,0
The dog that the girl that the boy that the cat that the cat liked chased liked helped jumps high.,4
The girl that the teacher that the dog that the cat saw chased helped is sleeping.,3
The dog that the boy that the cat saw liked is barking.,2
The teacher that the dog helped jumps high.,1
The boy that the girl that the cat that the teacher that the girl scolded chased liked liked is barking.,4
The dog that the student that the boy that the girl that the teacher chased liked scolded scolded is studying.,4
The boy that the dog chased is sleeping.,1
The girl that the student saw jumps high.,1
The dog that the student that the boy that the teacher that the cat that the girl saw liked saw helped chased jumps high.,5
The dog that the dog that the girl that the student that the teacher scolded helped helped chased is reading.,4
The boy that the teacher chased runs fast.,1
The student that the boy that the teacher that the teacher that the dog that the dog liked chased helped helped helped jumps high.,5
The student that the dog that the dog that the dog that the teacher that the boy helped saw saw liked chased jumps high.,5
The girl that the boy admired runs fast.,1
The dog that the boy that the boy that the cat that the teacher saw saw liked scolded is sleeping.,4
The cat that the boy that the teacher scolded admired is studying.,2
The girl that the boy helped runs fast.,1
The student that the boy that the cat that the dog scolded scolded liked runs fast.,3
The girl is studying.,0
The cat that the cat that the boy that the cat helped helped saw is reading.,3
The girl that the boy that the girl scolded saw is sleeping.,2
The teacher that the girl scolded runs fast.,1
The teacher that the boy liked jumps high.,1
The dog that the boy that the dog chased helped is reading.,2
The cat that the teacher scolded is studying.,1
The cat that the cat that the student that the girl scolded helped saw is studying.,3
The boy that the girl that the teacher that the girl admired chased liked jumps high.,3
The boy is sleeping.,0
The cat is sleeping.,0
The cat that the dog scolded is barking.,1
The student that the student chased is barking.,1
The boy that the boy that the girl that the cat that the dog scolded scolded saw scolded is studying.,4
The cat that the teacher that the cat admired admired is barking.,2
The teacher that the dog that the girl that the teacher saw liked scolded jumps high.,3
The cat that the girl that the cat that the dog scolded chased chased is studying.,3
The cat that the boy that the girl that the girl that the cat saw helped helped liked runs fast.,4
The boy that the girl scolded jumps high.,1
The dog that the girl liked is sleeping.,1
The girl that the boy that the dog that the dog that the student that the dog helped helped admired scolded scolded is sleeping.,5
The student is barking.,0
The student is studying.,0
The student that the teacher that the boy that the girl scolded scolded saw runs fast.,3
The student that the girl that the girl that the cat that the dog that the boy liked helped chased scolded chased is studying.,5
The cat runs fast.,0
The dog is studying.,0
The dog that the student that the teacher that the boy scolded admired helped is sleeping.,3
The boy that the cat that the teacher scolded chased is reading.,2
The teacher that the boy that the dog saw scolded is reading.,2
The cat that the boy that the dog that the dog that the dog helped saw saw admired is barking.,4
The girl jumps high.,0
The dog that the student that the student that the student admired scolded liked is studying.,3
The boy that the boy that the cat admired chased is sleeping.,2
The teacher that the girl scolded jumps high.,1
The student that the girl that the cat that the girl saw liked scolded jumps high.,3
The student that the boy that the girl chased saw runs fast.,2
The teacher that the boy that the cat that the dog that the boy scolded admired liked admired runs fast.,4
The teacher that the teacher that the teacher saw admired runs fast.,2
The girl that the girl that the girl that the dog that the teacher chased scolded chased helped jumps high.,4
The dog that the student that the boy saw admired jumps high.,2
The boy jumps high.,0
The girl is sleeping.,0
The girl jumps high.,0
The boy that the girl that the dog helped admired is reading.,2
The dog that the student helped is studying.,1
The dog that the teacher that the student that the teacher that the dog that the student chased admired admired scolded helped runs fast.,5
The cat that the teacher that the boy scolded liked jumps high.,2
The dog that the teacher that the dog that the girl saw admired chased runs fast.,3
The teacher that the boy chased runs fast.,1
The boy that the boy that the girl that the cat admired helped saw is barking.,3
The cat that the cat that the girl that the student that the dog helped liked chased helped is reading.,4
The dog that the student chased is studying.,1
The boy that the dog that the girl helped admired is barking.,2
The teacher that the dog that the boy scolded scolded is barking.,2
The girl is reading.,0
The teacher that the cat that the student that the cat admired liked chased is sleeping.,3
The student that the teacher that the dog scolded scolded runs fast.,2
The student that the boy that the student saw scolded is sleeping.,2
The girl jumps high.,0
The student that the dog saw jumps high.,1
The teacher that the cat saw runs fast.,1
The girl that the teacher that the girl that the dog that the boy that the student scolded helped chased liked chased jumps high.,5
The dog that the cat that the dog that the student that the teacher that the girl scolded helped chased scolded admired is sleeping.,5
The cat that the cat that the teacher saw saw is sleeping.,2
The cat that the cat that the dog that the boy that the girl helped helped chased admired is reading.,4
The dog is reading.,0
The boy that the girl that the student that the girl that the boy that the girl scolded helped liked helped helped is sleeping.,5
The cat that the student chased jumps high.,1
The student jumps high.,0
The cat that the girl that the student that the dog helped liked liked is studying.,3
The girl that the student that the girl chased scolded runs fast.,2
The cat is reading.,0
The teacher is barking.,0
The girl that the student that the dog that the girl that the student that the student helped liked scolded chased saw is sleeping.,5
The dog that the dog that the dog that the boy that the boy admired liked saw admired runs fast.,4
The boy runs fast.,0
The cat is sleeping.,0
The cat that the boy that the boy that the dog helped chased admired is studying.,3
The cat is sleeping.,0
The boy is sleeping.,0
The boy that the dog that the dog that the teacher helped scolded admired jumps high.,3
The girl that the dog that the teacher that the student chased saw saw is sleeping.,3
The dog that the teacher that the cat scolded helped is sleeping.,2
The teacher that the cat that the boy that the teacher chased scolded saw is barking.,3
The cat is sleeping.,0
The teacher that the student admired runs fast.,1
The student that the girl that the dog liked scolded jumps high.,2
The student that the dog that the student that the student helped saw chased jumps high.,3
The dog that the cat that the teacher that the boy that the teacher liked helped chased admired is studying.,4
The dog is studying.,0
The boy that the girl that the boy that the student that the student that the dog helped liked liked helped helped is reading.,5
The teacher that the boy that the student that the dog that the teacher admired chased helped chased is studying.,4
The cat that the student chased is sleeping.,1
The dog that the teacher that the student that the girl saw liked admired is barking.,3
The teacher that the girl scolded is studying.,1
The cat that the student helped jumps high.,1
The boy that the dog that the cat that the girl that the dog chased admired liked scolded is barking.,4
The boy is barking.,0
The cat that the student liked is reading.,1
The student that the girl that the teacher chased liked is reading.,2
The student that the dog that the student that the boy that the boy chased helped admired helped runs fast.,4
The student that the dog that the cat that the girl that the dog chased chased saw saw is barking.,4
The dog is reading.,0
The dog is barking.,0
The girl that the girl that the boy that the dog that the girl that the cat scolded chased liked helped helped is sleeping.,5
The dog that the girl that the girl that the cat admired scolded scolded is reading.,3
The teacher that the girl that the teacher chased scolded jumps high.,2
The cat jumps high.,0
The dog that the teacher that the teacher that the dog that the girl helped admired helped admired is sleeping.,4
The dog that the student chased is barking.,1
The cat that the dog that the dog chased chased jumps high.,2
The dog that the cat that the dog that the dog that the girl helped admired scolded helped jumps high.,4
The student that the student chased is barking.,1
The student that the dog that the girl that the dog helped liked chased jumps high.,3
The cat is sleeping.,0
The dog that the student that the dog scolded liked jumps high.,2
The cat that the boy helped is sleeping.,1
The student that the boy that the student that the dog saw scolded scolded is reading.,3
The boy that the cat that the teacher that the cat that the teacher that the girl scolded admired scolded saw liked is reading.,5
The student that the girl that the cat that the student that the teacher that the boy scolded liked saw liked helped is studying.,5
The teacher that the boy that the cat that the cat that the cat that the cat liked admired saw saw chased jumps high.,5
The student that the girl admired is barking.,1
The teacher that the student that the cat saw admired is barking.,2
The girl runs fast.,0
The girl is sleeping.,0
The girl that the cat that the boy helped saw is reading.,2
The dog that the dog that the student scolded helped is studying.,2
The girl that the student that the teacher scolded chased is sleeping.,2
The cat that the teacher that the boy that the teacher that the cat that the dog scolded scolded admired liked chased is sleeping.,5
The boy that the boy that the student that the student that the dog that the cat liked admired scolded liked admired is barking.,5
The boy that the boy that the boy liked helped is studying.,2
The girl is reading.,0
The student is reading.,0
The dog that the boy scolded is sleeping.,1
The dog that the student that the teacher that the boy that the teacher scolded liked chased liked is barking.,4
The boy that the dog that the student that the dog liked liked scolded jumps high.,3
The dog is reading.,0
The teacher that the teacher chased is sleeping.,1
The teacher that the teacher that the teacher that the cat that the girl that the boy saw liked saw chased liked jumps high.,5
The girl that the girl that the student that the boy chased liked saw is barking.,3
The cat that the boy that the girl that the girl that the boy liked saw liked liked is barking.,4
The dog that the dog that the girl that the boy that the dog that the teacher helped admired chased saw scolded is studying.,5
The teacher that the dog chased is sleeping.,1
The cat that the student liked runs fast.,1
The boy that the cat that the girl liked admired is studying.,2
The cat that the girl admired is barking.,1
The cat that the girl that the cat that the teacher that the student that the girl admired scolded liked saw liked jumps high.,5
The girl that the teacher scolded is reading.,1
The girl that the cat chased is sleeping.,1
The boy that the boy that the cat admired liked is barking.,2
The boy is sleeping.,0
The boy that the boy admired runs fast.,1
The student that the dog that the girl that the cat that the dog chased chased saw liked jumps high.,4
The teacher that the cat that the boy that the student that the cat that the boy helped helped scolded liked liked is barking.,5
The cat that the cat that the boy that the cat admired saw admired is reading.,3
The student is studying.,0
The student that the girl that the teacher that the cat that the boy liked helped admired scolded jumps high.,4
The student that the dog that the dog that the girl that the girl that the cat chased saw helped liked admired is barking.,5
The girl is studying.,0
The cat that the teacher admired is barking.,1
The student that the boy that the teacher that the teacher helped liked chased runs fast.,3
The girl that the cat that the girl that the girl chased scolded liked jumps high.,3
The teacher that the teacher that the girl that the girl that the student chased saw helped saw runs fast.,4
The teacher that the girl that the dog scolded scolded is studying.,2
The student that the student that the dog chased scolded jumps high.,2
The boy that the boy that the boy scolded helped jumps high.,2
The cat that the student that the dog liked saw runs fast.,2
The teacher that the boy scolded is sleeping.,1
The student that the girl that the boy that the dog liked admired chased is barking.,3
The boy that the boy that the boy that the girl that the student that the cat chased liked helped scolded scolded jumps high.,5
The student is reading.,0
The teacher that the boy that the girl that the cat that the teacher that the boy liked saw saw scolded helped is reading.,5
The girl that the girl helped is sleeping.,1
