sentence,depth
The player that the doctor saw that the girl called that the doctor liked that the scientist liked is sleeping.,4
The teacher that the cat watched that the artist chased that the scientist scolded that the teacher helped is laughing.,4
The cat that the teacher met that the artist watched that the doctor chased that the boy met that the doctor followed that the doctor liked jumps high.,6
The dog that the student admired jumps high.,1
The dog that the student called that the student met that the doctor saw that the boy watched that the artist saw is studying.,5
The player that the cat saw that the doctor chased that the teacher watched that the cat called that the boy helped that the artist followed is studying.,6
The student that the cat followed is walking.,1
The girl that the student chased that the artist helped jumps high.,2
The artist that the dog chased that the scientist admired that the doctor followed that the boy called that the student met that the doctor met is studying.,6
The girl that the boy chased that the dog admired that the teacher helped jumps high.,3
The cat that the teacher met that the dog scolded that the teacher called that the girl called that the dog met that the girl followed that the boy liked that the artist watched jumps high.,8
The student that the student admired that the student watched that the student helped is sleeping.,3
The girl that the boy met that the boy liked that the girl chased that the doctor admired that the student chased that the girl scolded is sleeping.,6
The dog that the doctor chased is sleeping.,1
The scientist is walking.,0
The scientist that the artist followed that the doctor scolded that the girl helped is studying.,3
The girl that the dog met that the girl followed is sleeping.,2
The girl that the doctor called that the dog scolded is laughing.,2
The dog that the scientist saw that the scientist watched that the scientist followed is sleeping.,3
The player that the girl saw that the student saw that the teacher scolded that the artist helped jumps high.,4
The girl that the girl met that the artist scolded is laughing.,2
The teacher that the student liked that the student liked that the artist scolded that the girl called is walking.,4
The doctor that the teacher saw is sleeping.,1
The cat that the dog liked that the doctor helped that the student admired that the artist admired that the teacher chased that the boy chased that the dog chased that the scientist chased runs fast.,8
The teacher is studying.,0
The player that the dog helped that the student scolded that the cat admired that the doctor admired that the cat scolded is walking.,5
The cat that the cat helped that the artist chased that the girl watched that the cat scolded that the dog admired that the teacher admired jumps high.,6
The teacher that the scientist admired that the boy saw is walking.,2
The cat that the doctor chased that the doctor admired that the doctor followed that the boy called that the girl met is barking.,5
The dog that the cat chased that the student liked that the dog called that the boy met that the teacher called that the cat saw that the teacher scolded is studying.,7
The doctor that the cat admired that the artist watched that the scientist met runs fast.,3
The dog that the girl helped that the girl followed is studying.,2
The doctor that the student met that the dog saw that the dog met that the cat chased that the scientist watched is sleeping.,5
The student that the boy watched that the artist saw that the scientist admired that the cat admired runs fast.,4
The dog that the artist saw that the girl watched that the dog watched that the artist called is studying.,4
