sentence,depth
"The artist that The artist during the morning that The professor by the river that The engineer in the library saw liked met, is resting.",3
"The actor that The manager from the city that The dog followed questioned, is barking quickly.",2
"The writer with great enthusiasm, is resting carefully.",0
The cat in the garden that The child near the school that The engineer near the school watched helped is dancing sadly.,2
"The engineer with great enthusiasm that The child from the city that The cat in the garden praised recognized, is reading angrily.",2
"The manager from the city that The actor during the morning that The professor from the city that The nurse from the village liked called recognized, is dancing proudly.",3
"The singer with red shoes, is walking silently.",0
The teacher in the garden that The boy with great enthusiasm that The singer in the garden liked visited is writing angrily.,2
The artist during the morning that The student with red shoes that The boy near the school that The teacher followed followed scolded runs fast.,3
"The teacher in the library, is sleeping.",0
The nurse from the village that The scientist during the morning called is dancing angrily.,1
"The nurse from the village that The lawyer that The player with great enthusiasm that The teacher by the river called encouraged saw, is shouting proudly.",3
The lawyer in the garden that The doctor from the village that The engineer from the city praised scolded is walking.,2
The lawyer near the school that The scientist with red shoes that The writer with great enthusiasm praised met is smiling calmly.,2
"The child from the village that The manager liked, is resting.",1
The boy near the school that The boy during the morning that The manager that The boy praised scolded watched is shouting angrily.,3
The doctor by the river is studying.,0
The engineer from the city that The teacher that The child in the garden that The cat from the city that The boy that The writer from the city met visited followed chased saw is reading.,5
"The student from the city that The actor in the library that The child with great enthusiasm that The singer in the garden chased ignored blamed, is writing.",3
"The nurse in the library that The scientist in the library that The child in the library that The manager in the library that The boy by the river helped helped called liked, is studying.",4
The teacher during the morning that The scientist from the city that The professor with red shoes that The manager with red shoes that The farmer in the library that The professor with great enthusiasm followed helped saw ignored saw is walking slowly.,5
"The teacher in the garden that The professor in the library admired, is sleeping slowly.",1
"The professor by the river that The farmer with great enthusiasm that The dog with red shoes met supported, is sleeping sadly.",2
The player with red shoes that The boy in the library that The actor with great enthusiasm that The child during the morning that The nurse in the library that The nurse from the city chased encouraged questioned called saw is laughing angrily.,5
"The teacher with great enthusiasm that The farmer from the city that The professor by the river recognized called, is smiling.",2
"The dog during the morning that The girl in the garden that The girl during the morning that The actor with great enthusiasm that The child from the village that The engineer in the garden visited recognized blamed recognized visited, is writing.",5
The professor from the city is writing.,0
"The cat with red shoes that The dog in the library that The dog in the garden that The cat in the library that The nurse with great enthusiasm helped scolded called watched, is shouting.",4
The nurse in the garden that The singer with great enthusiasm that The child from the village that The writer saw blamed chased is laughing.,3
The player during the morning that The engineer with great enthusiasm that The actor that The lawyer in the library that The writer supported chased praised helped is singing quickly.,4
The doctor with great enthusiasm is working proudly.,0
"The teacher near the school that The cat in the library supported, is resting calmly.",1
The farmer near the school that The player with great enthusiasm that The artist during the morning questioned chased is sleeping calmly.,2
"The professor in the garden that The dog by the river that The doctor near the school saw called, is barking.",2
"The teacher in the garden that The engineer from the village that The teacher with great enthusiasm that The actor with red shoes that The farmer near the school met praised blamed watched, is working.",4
The engineer in the garden that The girl during the morning met is studying.,1
"The manager from the city that The scientist with great enthusiasm that The scientist in the library saw admired, is reading angrily.",2
The singer with great enthusiasm is sleeping.,0
The scientist by the river that The farmer during the morning ignored is resting calmly.,1
"The dog in the library that The actor from the city that The artist during the morning that The singer in the library chased watched admired, is working.",3
"The artist by the river that The manager from the city that The dog in the garden ignored met, is resting proudly.",2
"The artist in the library, is walking calmly.",0
"The professor in the garden that The teacher that The nurse from the city that The teacher during the morning that The player in the library watched called chased blamed, is smiling proudly.",4
The teacher from the city is laughing.,0
"The professor by the river that The child by the river that The engineer near the school that The artist in the garden that The lawyer with red shoes that The lawyer near the school followed saw recognized saw supported, jumps high.",5
The boy during the morning is singing sadly.,0
"The teacher from the city that The teacher by the river that The teacher blamed praised, is reading.",2
The cat in the library that The teacher watched is resting silently.,1
"The farmer with red shoes, is walking.",0
The doctor near the school that The farmer scolded is sleeping.,1
The dog from the city that The girl visited is laughing calmly.,1
"The doctor in the garden that The dog in the library that The doctor by the river that The farmer from the city that The singer near the school questioned watched helped supported, is working happily.",4
"The player that The cat from the city that The cat in the library praised recognized, is shouting.",2
The cat by the river that The player with red shoes that The writer from the city that The doctor near the school that The artist from the city scolded praised recognized watched is smiling eagerly.,4
The child that The player in the garden scolded is studying happily.,1
The teacher with red shoes that The student near the school that The player with red shoes that The teacher in the library that The doctor in the garden followed blamed admired blamed jumps high sadly.,4
The teacher with great enthusiasm that The child in the garden liked is barking happily.,1
"The cat during the morning that The doctor from the village that The teacher during the morning that The professor by the river that The nurse in the library that The teacher from the village ignored liked liked visited ignored, is resting.",5
"The dog from the city that The doctor from the village visited, is writing eagerly.",1
"The singer with red shoes that The engineer by the river questioned, is sleeping angrily.",1
The teacher with red shoes is dancing proudly.,0
The cat with great enthusiasm that The doctor with red shoes that The cat that The lawyer in the garden that The professor during the morning encouraged encouraged admired praised is resting.,4
"The boy from the city that The nurse in the garden that The singer from the city that The artist in the garden admired admired scolded, is studying.",3
"The player in the garden, is studying proudly.",0
"The player by the river, is shouting.",0
The student from the village that The player near the school that The doctor during the morning that The nurse in the garden that The actor with great enthusiasm praised questioned questioned recognized jumps high happily.,4
The scientist with great enthusiasm that The child with great enthusiasm ignored is laughing calmly.,1
The doctor in the garden that The dog during the morning that The professor from the village that The manager in the library that The professor in the garden that The singer during the morning supported scolded chased called supported is laughing silently.,5
"The cat in the library that The child during the morning that The farmer with red shoes that The lawyer with red shoes chased chased followed, jumps high.",3
The child in the library that The writer in the library scolded is writing angrily.,1
"The lawyer from the village that The singer during the morning that The writer with great enthusiasm followed recognized, is singing.",2
The boy with great enthusiasm is resting happily.,0
The writer in the library that The student in the library helped is dancing.,1
The lawyer from the city that The doctor with red shoes supported is writing carefully.,1
The singer from the village that The cat during the morning scolded is singing.,1
"The scientist near the school that The actor from the city that The manager with great enthusiasm that The nurse with red shoes that The cat with great enthusiasm scolded called called followed, is singing carefully.",4
"The professor with red shoes, is laughing sadly.",0
"The child in the garden that The professor from the village that The professor that The nurse with great enthusiasm encouraged watched chased, is singing.",3
The farmer in the library that The girl from the city that The engineer during the morning that The child from the city that The artist helped followed supported watched runs fast.,4
The dog by the river that The engineer by the river liked is shouting angrily.,1
"The dog from the city that The manager near the school that The boy by the river that The writer with red shoes that The singer near the school that The dog in the garden called met followed praised helped, is sleeping sadly.",5
"The child with great enthusiasm, is working.",0
"The manager from the city that The writer in the garden that The actor with red shoes ignored admired, is studying.",2
"The lawyer by the river that The doctor from the city chased, is smiling.",1
"The singer in the garden that The student from the city that The engineer during the morning followed questioned, is reading silently.",2
"The manager with great enthusiasm that The artist by the river watched, is singing angrily.",1
"The child in the garden that The writer in the library liked, is shouting quickly.",1
"The teacher from the village that The artist chased, is resting silently.",1
The farmer from the village that The actor near the school that The farmer from the village that The boy in the garden that The player with great enthusiasm that The actor watched supported saw saw questioned is writing proudly.,5
"The teacher by the river that The engineer with red shoes that The singer in the library that The lawyer in the library that The boy by the river encouraged recognized ignored saw, is smiling.",4
"The girl in the garden that The lawyer in the garden that The nurse from the village that The doctor near the school visited saw helped, is singing.",3
"The boy during the morning that The farmer in the garden that The singer with great enthusiasm that The engineer from the village that The engineer by the river praised encouraged supported admired, jumps high.",4
"The professor that The singer from the city that The singer by the river that The doctor from the village that The dog near the school that The professor by the river blamed called encouraged met met, is reading happily.",5
"The engineer, is laughing.",0
"The player from the village that The singer with great enthusiasm blamed, is sleeping happily.",1
The singer from the village that The cat from the city supported runs fast.,1
