sentence,depth
The cat is studying.,0
The girl that The teacher that The cat chased saw runs fast.,2
The student that The dog that The student that The teacher that The dog that The teacher that The boy that The cat chased scolded chased helped chased chased helped is reading.,7
The boy that The cat that The teacher that The boy that The cat that The teacher that The girl that The student admired scolded liked saw liked admired liked is studying.,7
The teacher that The boy that The student that The girl helped chased admired is studying.,3
The teacher runs fast.,0
The teacher that The girl that The teacher that The girl scolded chased chased is sleeping.,3
The student that The student that The girl that The girl that The student that The cat admired scolded saw chased scolded is studying.,5
The girl that The dog that The teacher that The student chased chased admired is reading.,3
The cat that The dog that The girl that The boy helped admired helped runs fast.,3
The cat that The teacher that The boy that The teacher that The boy that The student that The cat helped liked saw saw admired chased is barking.,6
The student that The cat that The teacher saw saw is studying.,2
The boy that The girl that The student that The girl that The cat that The teacher that The dog helped chased scolded admired chased chased runs fast.,6
The boy that The cat that The student that The teacher that The teacher that The cat saw chased chased scolded liked runs fast.,5
The teacher that The dog chased jumps high.,1
The teacher that The girl that The student that The cat that The teacher that The dog saw saw helped scolded admired runs fast.,5
The boy that The dog scolded jumps high.,1
The teacher that The student that The girl liked chased is studying.,2
The girl that The teacher that The girl scolded liked is barking.,2
The cat that The cat that The student that The dog admired chased scolded is studying.,3
The student that The girl that The dog that The student that The cat that The cat that The boy that The girl that The girl admired scolded chased admired admired scolded chased helped jumps high.,8
The dog that The teacher that The teacher that The boy that The boy that The cat that The boy that The dog that The cat saw admired saw liked admired scolded scolded admired is sleeping.,8
The teacher that The girl that The girl that The teacher that The dog that The boy helped liked liked liked admired is barking.,5
The dog that The cat that The dog that The cat that The boy that The teacher that The teacher admired chased liked saw chased admired is sleeping.,6
The student that The student helped is sleeping.,1
The cat that The cat chased is reading.,1
The student that The girl liked runs fast.,1
The girl that The teacher liked is studying.,1
The girl that The cat that The student that The student that The cat that The dog that The boy saw liked liked saw chased chased is barking.,6
The dog that The dog that The cat that The boy that The student that The dog that The girl that The teacher that The student chased helped chased scolded scolded liked scolded liked is studying.,8
The student that The cat saw runs fast.,1
The cat that The dog that The teacher liked admired is barking.,2
The student that The dog admired is barking.,1
The boy that The girl that The teacher that The cat that The girl that The cat that The teacher saw chased chased helped liked chased is studying.,6
The dog that The girl that The student that The teacher liked liked liked is sleeping.,3
The cat is studying.,0
The boy is reading.,0
The teacher jumps high.,0
The boy that The boy that The teacher that The dog saw liked saw jumps high.,3
The cat that The boy that The girl that The girl that The girl scolded chased saw helped is reading.,4
The teacher that The dog scolded is studying.,1
The dog that The dog that The dog that The cat that The teacher that The dog that The dog that The girl that The teacher helped saw admired saw saw scolded helped helped runs fast.,8
The girl that The girl that The teacher that The boy that The boy that The girl that The cat chased admired scolded saw admired admired is barking.,6
The teacher that The teacher that The girl that The dog admired admired liked is studying.,3
The teacher that The teacher that The girl that The teacher that The teacher that The teacher chased chased scolded saw liked is sleeping.,5
The student that The cat that The student that The cat that The student that The cat that The cat that The cat liked helped chased chased admired helped scolded is barking.,7
The teacher that The teacher that The girl that The teacher that The dog scolded helped scolded liked jumps high.,4
The girl is sleeping.,0
The student that The student that The girl that The girl that The girl that The boy that The teacher scolded admired chased helped chased saw runs fast.,6
The dog that The dog admired is sleeping.,1
The dog that The girl that The student admired helped is sleeping.,2
The dog that The teacher saw is barking.,1
The cat jumps high.,0
The student that The dog that The boy chased helped is sleeping.,2
The student that The girl that The dog that The dog chased liked saw is barking.,3
The cat runs fast.,0
The boy that The girl that The teacher chased admired runs fast.,2
The student that The boy that The student that The teacher helped admired scolded is sleeping.,3
The girl that The boy that The girl that The cat that The boy saw chased chased liked is sleeping.,4
The girl is reading.,0
