sentence,depth,length_words,type
The young manager that the serious child that the nervous girl admired praised laughed loudly at night.,2,17,synthetic_center_embedding
The clever student that the boy saw arrived early at night.,1,11,synthetic_center_embedding
The clever cat listened closely during class.,0,7,synthetic_center_embedding
The mother that the kind artist watched waited outside before noon.,1,11,synthetic_center_embedding
The young teacher that the old singer thanked waited outside at night.,1,12,synthetic_center_embedding
The clever actor that the boy that the angry scientist informed called worked quietly in the garden.,2,17,synthetic_center_embedding
The happy child walked slowly.,0,5,synthetic_center_embedding
The happy cat that the old student that the angry scientist recognized saw waited outside at night.,2,17,synthetic_center_embedding
The neighbor that the old child that the angry artist blamed questioned sat calmly at the office.,2,17,synthetic_center_embedding
The happy mother cried suddenly at the office.,0,8,synthetic_center_embedding
The happy doctor that the tall teacher admired slept peacefully before noon.,1,12,synthetic_center_embedding
The angry farmer that the neighbor that the young manager that the old scientist called questioned recognized walked slowly during class.,3,21,synthetic_center_embedding
The nervous artist that the kind neighbor that the nervous doctor saw recognized listened closely this morning.,2,17,synthetic_center_embedding
The happy student that the tall engineer that the curious driver helped met read carefully during class.,2,17,synthetic_center_embedding
The happy doctor that the nervous scientist visited laughed loudly at night.,1,12,synthetic_center_embedding
The tall boy that the curious neighbor that the curious engineer questioned visited listened closely before noon.,2,17,synthetic_center_embedding
The angry teacher listened closely after dinner.,0,7,synthetic_center_embedding
The angry father that the young dog that the happy student that the serious scientist that the happy boy that the angry child recognized reminded supported met saw waited outside in the garden.,5,33,synthetic_center_embedding
The kind mother that the kind neighbor that the serious scientist that the happy artist informed called admired walked slowly this morning.,3,22,synthetic_center_embedding
The nervous engineer that the clever engineer that the student that the serious boy admired helped thanked walked slowly after dinner.,3,21,synthetic_center_embedding
The happy manager that the tall engineer that the curious manager that the young mother that the artist that the serious singer informed warned visited saw praised sat calmly after dinner.,5,31,synthetic_center_embedding
The happy lawyer waited outside at night.,0,7,synthetic_center_embedding
The quiet father that the serious girl met read carefully this morning.,1,12,synthetic_center_embedding
The kind doctor that the old child that the clever cat that the father that the curious teacher saw helped supported met rested briefly after dinner.,4,26,synthetic_center_embedding
The old father that the clever cat encouraged sat calmly.,1,10,synthetic_center_embedding
The kind artist that the young student that the angry doctor that the girl that the angry lawyer that the young mother informed encouraged greeted informed thanked stood silently.,5,29,synthetic_center_embedding
The curious doctor stood silently at night.,0,7,synthetic_center_embedding
The curious father that the kind dog that the happy mother that the angry artist thanked saw watched slept peacefully this morning.,3,22,synthetic_center_embedding
The tall engineer that the angry lawyer that the curious student called thanked ran away this morning.,2,17,synthetic_center_embedding
The curious engineer that the curious student that the happy scientist that the nervous dog that the old engineer questioned chased warned blamed cried suddenly at the office.,4,28,synthetic_center_embedding
The kind dog arrived early at the office.,0,8,synthetic_center_embedding
The clever neighbor that the quiet singer followed rested briefly in the garden.,1,13,synthetic_center_embedding
The quiet driver that the old father met ran away at night.,1,12,synthetic_center_embedding
The nervous mother that the happy manager greeted stood silently.,1,10,synthetic_center_embedding
The clever doctor that the serious manager that the young father that the nervous cat reminded reminded visited read carefully at night.,3,22,synthetic_center_embedding
The angry singer that the clever engineer thanked waited outside during class.,1,12,synthetic_center_embedding
The serious singer that the nervous dog that the curious lawyer warned visited spoke softly yesterday.,2,16,synthetic_center_embedding
The serious artist read carefully at night.,0,7,synthetic_center_embedding
The quiet farmer that the old farmer praised cried suddenly after dinner.,1,12,synthetic_center_embedding
The young doctor that the curious engineer that the tall student watched warned slept peacefully in the garden.,2,18,synthetic_center_embedding
The tall father that the curious child that the angry neighbor met watched slept peacefully.,2,15,synthetic_center_embedding
