sentence,depth
The dog jumps high.,0
The student that the cat chased that the student helped runs fast.,2
The dog that the cat saw that the student saw that the dog scolded that the student scolded that the girl scolded that the boy scolded that the teacher admired jumps high.,7
The cat that the student admired that the boy helped that the boy scolded that the girl liked that the dog saw that the teacher liked that the boy chased is sleeping.,7
The girl that the dog saw that the student admired that the dog admired jumps high.,3
The dog is reading.,0
The boy that the dog saw that the cat saw that the boy saw is sleeping.,3
The boy that the dog chased that the student liked that the teacher scolded that the teacher helped that the girl saw is studying.,5
The girl that the student saw that the student scolded that the student helped is studying.,3
The girl that the student liked that the teacher admired that the girl helped runs fast.,3
The teacher that the girl chased that the girl chased that the boy liked that the student saw that the student helped that the girl admired is sleeping.,6
The girl that the cat scolded that the student liked is studying.,2
The dog that the teacher saw that the girl saw that the dog chased that the girl scolded that the student saw that the cat admired jumps high.,6
The student that the cat liked that the boy liked that the boy chased that the girl chased that the student admired runs fast.,5
The girl that the girl helped is barking.,1
The boy that the dog scolded that the teacher helped that the dog liked that the dog saw that the teacher liked runs fast.,5
The teacher that the cat liked is sleeping.,1
The boy that the teacher saw that the boy saw is sleeping.,2
The girl that the teacher liked that the dog admired jumps high.,2
The boy that the teacher liked that the cat chased that the cat scolded is reading.,3
The dog that the boy saw that the teacher chased that the girl admired that the dog chased that the student helped that the teacher helped that the student scolded that the boy liked is reading.,8
The cat that the boy helped that the girl scolded that the student admired that the student chased that the boy scolded that the cat chased that the boy scolded that the cat admired is barking.,8
The teacher that the dog scolded that the cat saw that the cat saw that the teacher admired that the girl chased is reading.,5
The girl that the cat liked that the student liked that the teacher saw that the teacher scolded that the girl chased that the cat liked is studying.,6
The teacher that the teacher helped runs fast.,1
The cat that the teacher scolded is reading.,1
The student that the dog admired is reading.,1
The student that the teacher admired is sleeping.,1
The girl that the dog liked that the boy saw that the cat scolded that the cat chased that the dog saw that the boy liked is reading.,6
The dog that the dog saw that the dog helped that the teacher saw that the teacher helped that the girl helped that the cat helped that the cat saw that the student liked runs fast.,8
The student that the boy scolded is reading.,1
The cat that the teacher admired that the dog scolded is barking.,2
The cat that the cat scolded is reading.,1
The dog that the student scolded that the teacher liked that the teacher admired that the teacher liked that the cat helped that the student admired jumps high.,6
The teacher that the dog admired that the girl liked that the student helped is sleeping.,3
The dog is reading.,0
The girl is reading.,0
The boy is barking.,0
The dog that the boy scolded that the boy chased that the teacher saw is barking.,3
The cat that the teacher helped that the girl liked that the boy chased that the student chased is sleeping.,4
The girl that the girl scolded jumps high.,1
The student that the cat saw that the student saw that the dog saw that the cat chased that the dog liked that the cat admired that the dog saw that the teacher saw jumps high.,8
The student that the girl saw that the teacher admired that the dog saw that the boy chased that the dog saw that the girl saw is reading.,6
The girl that the boy admired that the dog helped that the dog helped is barking.,3
The cat that the teacher scolded that the girl scolded that the boy admired that the cat admired that the cat helped jumps high.,5
The boy that the girl helped that the teacher admired that the boy liked that the teacher chased that the boy admired that the girl chased that the dog admired is barking.,7
