model,depth,sentence,avg_surprisal,max_surprisal
GPT-2,3,"The professor with red shoes that The doctor that The student with great enthusiasm that The manager by the river admired scolded admired, is studying.",8.982909202575684,15.832571029663086
GPT-2,4,The dog from the village that The actor in the library that The student with great enthusiasm that The doctor near the school that The lawyer in the library admired chased encouraged encouraged is smiling silently.,8.265037536621094,19.91851806640625
GPT-2,2,"The lawyer during the morning that The boy with great enthusiasm that The singer with red shoes watched admired, is dancing.",10.015898704528809,18.362470626831055
GPT-2,2,"The boy with red shoes that The boy in the library that The girl with red shoes supported liked, is sleeping silently.",7.710152626037598,19.459890365600586
GPT-2,0,"The scientist with great enthusiasm, is barking carefully.",9.308002471923828,17.142541885375977
GPT-2,5,The engineer near the school that The manager by the river that The scientist from the city that The farmer near the school that The farmer from the city that The actor from the village ignored encouraged visited recognized watched runs fast eagerly.,7.397575378417969,19.32975196838379
GPT-2,5,"The boy that The student during the morning that The nurse with red shoes that The nurse near the school that The child in the library that The cat in the garden supported visited admired watched watched, jumps high slowly.",7.921693325042725,18.721786499023438
GPT-2,5,The nurse near the school that The cat with red shoes that The manager near the school that The teacher in the library that The boy with red shoes that The player with great enthusiasm recognized followed scolded helped blamed is shouting proudly.,7.7368059158325195,18.83941078186035
GPT-2,5,The manager in the garden that The player from the city that The scientist with great enthusiasm that The actor from the city that The nurse with great enthusiasm that The farmer with great enthusiasm helped encouraged recognized met recognized is barking sadly.,7.113440990447998,18.43313980102539
GPT-2,2,The teacher from the city that The professor that The singer from the village called chased is reading silently.,8.938652992248535,17.589393615722656
GPT-2,1,"The lawyer that The nurse in the garden admired, is dancing.",10.153590202331543,19.166601181030273
GPT-2,2,The boy by the river that The boy with great enthusiasm that The girl from the city liked recognized is walking.,8.226696014404297,14.940258979797363
GPT-2,4,The engineer during the morning that The artist with red shoes that The engineer that The player by the river that The singer in the library visited met visited admired is resting.,8.482072830200195,15.867180824279785
GPT-2,5,The teacher during the morning that The manager with great enthusiasm that The girl in the library that The doctor during the morning that The manager with great enthusiasm that The writer in the library ignored scolded ignored questioned liked jumps high.,7.061081409454346,18.859712600708008
GPT-2,2,"The player with great enthusiasm that The farmer in the library that The farmer with great enthusiasm recognized supported, is smiling proudly.",8.010880470275879,18.96462059020996
GPT-2,2,The writer from the city that The boy with great enthusiasm that The student from the village praised met is reading.,8.925113677978516,18.03837776184082
GPT-2,3,The nurse with great enthusiasm that The girl by the river that The writer with great enthusiasm that The engineer in the garden scolded scolded met is singing.,7.692768573760986,15.59812068939209
GPT-2,4,The writer during the morning that The artist from the village that The manager from the village that The actor with great enthusiasm that The writer from the city recognized blamed saw helped is working carefully.,8.006372451782227,19.631946563720703
GPT-2,1,"The child with red shoes that The writer with red shoes called, is resting.",8.135492324829102,13.655725479125977
GPT-2,2,"The girl from the city that The cat with great enthusiasm that The engineer near the school watched followed, is smiling slowly.",9.305771827697754,16.350000381469727
GPT-2,3,The artist with red shoes that The writer from the village that The actor by the river that The girl from the village liked helped praised is reading angrily.,8.597229957580566,19.995849609375
GPT-2,4,The girl with red shoes that The actor that The actor from the city that The player by the river that The dog by the river recognized supported chased followed is walking sadly.,8.033124923706055,17.937335968017578
GPT-2,1,The artist by the river that The doctor from the village blamed jumps high.,10.183258056640625,20.79587173461914
GPT-2,3,The actor that The manager in the library that The artist from the city that The child in the garden watched scolded supported runs fast calmly.,9.098428726196289,20.105993270874023
GPT-2,0,"The teacher with great enthusiasm, jumps high.",8.869361877441406,17.056180953979492
GPT-2,3,"The nurse by the river that The engineer by the river that The teacher by the river that The player in the library recognized questioned met, is reading.",6.821204662322998,18.412668228149414
GPT-2,3,"The doctor in the library that The actor by the river that The student that The boy from the village liked watched questioned, is writing.",8.757391929626465,15.26698112487793
GPT-2,0,The actor with great enthusiasm is writing.,8.765148162841797,13.910863876342773
GPT-2,1,"The teacher during the morning that The child in the library recognized, is reading eagerly.",8.807024955749512,15.701733589172363
GPT-2,0,The writer from the city is working sadly.,8.492701530456543,18.529930114746094
GPT-2,2,The girl in the garden that The doctor near the school that The farmer with red shoes watched called is reading happily.,8.743712425231934,14.610297203063965
GPT-2,2,"The player near the school that The girl in the garden that The scientist in the library ignored saw, is writing carefully.",8.085273742675781,14.507678031921387
GPT-2,2,"The manager by the river that The cat with great enthusiasm that The farmer from the village met saw, is reading.",8.985581398010254,15.311549186706543
GPT-2,2,The boy near the school that The artist that The scientist from the village visited praised runs fast.,9.243123054504395,15.138960838317871
GPT-2,5,The professor during the morning that The boy during the morning that The scientist with red shoes that The artist with great enthusiasm that The writer with great enthusiasm that The teacher from the city recognized blamed blamed praised visited is singing eagerly.,7.567024230957031,20.117952346801758
GPT-2,4,"The boy in the library that The farmer by the river that The cat from the village that The farmer by the river that The engineer near the school helped supported called followed, is studying.",7.339837074279785,17.33620262145996
